"contrast","ontology","term","sig_with_term","sig_total","universe_with_term","universe_total","pvalue","padj"
"18_month_vs_6_month","GO","GO:0019069",1,889,47,35149,0.700256900008198,1
"18_month_vs_6_month","GO","GO:0016592",2,889,97,35149,0.70733773782688,1
"18_month_vs_6_month","GO","GO:0043531",1,889,49,35149,0.715247553524152,1
"18_month_vs_6_month","GO","GO:0050660",1,889,49,35149,0.715247553524152,1
"18_month_vs_6_month","GO","GO:0002949",1,889,50,35149,0.722459659647145,1
"18_month_vs_6_month","GO","GO:0005739",1,889,51,35149,0.729489300450976,1
"18_month_vs_6_month","GO","GO:0006357",2,889,102,35149,0.733086393593863,1
"18_month_vs_6_month","GO","GO:0005840",3,889,152,35149,0.742562915566223,1
"18_month_vs_6_month","GO","GO:0000278",1,889,53,35149,0.743019514816215,1
"18_month_vs_6_month","GO","GO:0016020",46,889,1984,35149,0.751114835330347,1
"18_month_vs_6_month","GO","GO:0000775",1,889,55,35149,0.755873707501944,1
"18_month_vs_6_month","GO","GO:0016757",1,889,56,35149,0.762057906340229,1
"18_month_vs_6_month","GO","GO:0015031",1,889,57,35149,0.768085619025481,1
"18_month_vs_6_month","GO","GO:0005524",22,889,1001,35149,0.778734120454246,1
"18_month_vs_6_month","GO","GO:0006302",1,889,59,35149,0.779687307704769,1
"18_month_vs_6_month","GO","GO:0042729",1,889,59,35149,0.779687307704769,1
"18_month_vs_6_month","GO","GO:0016485",1,889,60,35149,0.785268897429774,1
"18_month_vs_6_month","GO","GO:0140359",1,889,61,35149,0.790709233437781,1
"18_month_vs_6_month","GO","GO:0003676",6,889,310,35149,0.79846776446747,1
"18_month_vs_6_month","GO","GO:0042500",1,889,64,35149,0.806217978541963,1
"18_month_vs_6_month","GO","GO:0003824",4,889,220,35149,0.809965385363302,1
"18_month_vs_6_month","GO","GO:0008757",1,889,66,35149,0.815913977022451,1
"18_month_vs_6_month","GO","GO:0008168",2,889,122,35149,0.81754215383955,1
"18_month_vs_6_month","GO","GO:0006418",1,889,67,35149,0.820578699948855,1
"18_month_vs_6_month","GO","GO:0006367",1,889,69,35149,0.829556909064741,1
"18_month_vs_6_month","GO","GO:0016301",2,889,128,35149,0.837753246927611,1
"18_month_vs_6_month","GO","GO:0005198",3,889,182,35149,0.841934119691906,1
"18_month_vs_6_month","GO","GO:0033179",1,889,73,35149,0.846189372801417,1
"18_month_vs_6_month","GO","GO:0019028",2,889,131,35149,0.847079935919028,1
"18_month_vs_6_month","GO","GO:0004812",1,889,76,35149,0.857590759959402,1
"18_month_vs_6_month","GO","GO:0016491",4,889,262,35149,0.90038842442266,1
"18_month_vs_6_month","GO","GO:0000398",1,889,91,35149,0.903115608623291,1
"18_month_vs_6_month","GO","GO:0046961",1,889,92,35149,0.905572400908473,1
"18_month_vs_6_month","GO","GO:0006412",2,889,162,35149,0.918450762099788,1
"18_month_vs_6_month","GO","GO:0005525",5,889,327,35149,0.91852831014697,1
"18_month_vs_6_month","GO","GO:0006260",2,889,166,35149,0.924953028251236,1
"18_month_vs_6_month","GO","GO:0003341",1,889,102,35149,0.926964746980244,1
"18_month_vs_6_month","GO","GO:0005930",1,889,102,35149,0.926964746980244,1
"18_month_vs_6_month","GO","GO:0036159",1,889,102,35149,0.926964746980244,1
"18_month_vs_6_month","GO","GO:0003677",16,889,877,35149,0.933197154372353,1
"18_month_vs_6_month","GO","GO:0003743",3,889,234,35149,0.937228926197032,1
"18_month_vs_6_month","GO","GO:0003735",2,889,176,35149,0.939133137564076,1
"18_month_vs_6_month","GO","GO:0006886",3,889,236,35149,0.939515865760404,1
"18_month_vs_6_month","GO","GO:0046983",1,889,111,35149,0.942044428002121,1
"18_month_vs_6_month","GO","GO:0006355",11,889,675,35149,0.955988836513692,1
"18_month_vs_6_month","GO","GO:1902600",1,889,128,35149,0.962562322645801,1
"18_month_vs_6_month","GO","GO:0005886",1,889,135,35149,0.968729525462403,1
"18_month_vs_6_month","GO","GO:0019031",1,889,135,35149,0.968729525462403,1
"18_month_vs_6_month","GO","GO:0003723",6,889,443,35149,0.969140879963038,1
"18_month_vs_6_month","GO","GO:0010506",1,889,137,35149,0.970297294177667,1
"18_month_vs_6_month","GO","GO:0016787",3,889,275,35149,0.971222627652734,1
