"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj_plot","minus_log10_padj","significance"
"MSTRG.648",1716.54343314311,-1.02273413050492,0.174517384095407,-5.86035675360459,4.61873814004084e-09,9.83903193238154e-07,9.83903193238154e-07,6.0070476299332,"Down"
"MSTRG.469",114.249622536987,-1.94105759035176,0.332484974187343,-5.83803101206627,5.28213271734215e-09,1.11174660408299e-06,1.11174660408299e-06,5.95399418846349,"Down"
"MSTRG.36963",191.162819065834,2.07444478210947,0.355613649142741,5.83342283714424,5.43017253055708e-09,1.13610198974137e-06,1.13610198974137e-06,5.94458267954606,"Up"
"MSTRG.25467",7347.38076680498,-1.46472689655274,0.251406374797559,-5.8261326815288,5.67265224608394e-09,1.17981096921659e-06,1.17981096921659e-06,5.92818757032309,"Down"
"MSTRG.35985",1087.85800840975,-1.33325967320343,0.22979034206485,-5.80207010104527,6.55011648423074e-09,1.34637452809489e-06,1.34637452809489e-06,5.87083411332195,"Down"
"MSTRG.4223",1089.78480827556,-1.07304648265299,0.186003680625872,-5.76895295320157,7.97655669928444e-09,1.59299995126789e-06,1.59299995126789e-06,5.79778423748455,"Down"
"MSTRG.13212",64.5403857206456,3.21419062657289,0.558555534976845,5.75446920726715,8.69144453690469e-09,1.71626732599811e-06,1.71626732599811e-06,5.76541506545955,"Up"
"MSTRG.10386",1038.48028678552,-1.44060721970094,0.251512112782681,-5.7277846532413,1.01750613860534e-08,1.99800688635972e-06,1.99800688635972e-06,5.69940301926175,"Down"
"MSTRG.4092",114.118597584008,1.30415640764389,0.228091825747988,5.71768147923379,1.07987319415844e-08,2.10869238341527e-06,2.10869238341527e-06,5.67598677063004,"Up"
"MSTRG.32323",448.068125988529,-1.45504577679473,0.254589185297591,-5.71526938622282,1.09530369653442e-08,2.12700716185018e-06,2.12700716185018e-06,5.67223104778097,"Down"
"MSTRG.31510",281.616230046806,-1.40429292956447,0.246383245433137,-5.6996283456521,1.20068900210572e-08,2.30617583251442e-06,2.30617583251442e-06,5.6371075833468,"Down"
"MSTRG.19563",189.765259849812,-1.20591918424424,0.211773348294941,-5.69438597421959,1.23816700159199e-08,2.36523543146504e-06,2.36523543146504e-06,5.62612562384911,"Down"
"MSTRG.11139",289.038577861095,-1.49462967582983,0.262545084844302,-5.69284957940158,1.24936448919308e-08,2.37372499625121e-06,2.37372499625121e-06,5.62456959689308,"Down"
"MSTRG.27383",1488.00965435372,-1.40388730597996,0.248741680273034,-5.6439568328033,1.66185757881218e-08,3.07434905461417e-06,3.07434905461417e-06,5.51224682522705,"Down"
"MSTRG.11259",348.320549843905,1.69670042308493,0.300994688648662,5.63697795034986,1.73060261440119e-08,3.1656679321115e-06,3.1656679321115e-06,5.4995346431108,"Up"
"MSTRG.22877",520.714443053747,-1.33405807751393,0.23662778888414,-5.63779124930724,1.72245128394034e-08,3.1656679321115e-06,3.1656679321115e-06,5.4995346431108,"Down"
"MSTRG.29353",214.733930440403,-1.44215876078421,0.25587342853513,-5.6362193176546,1.73823981022937e-08,3.1656679321115e-06,3.1656679321115e-06,5.4995346431108,"Down"
"MSTRG.32707",851.772424855477,-1.62076936898996,0.289234175403864,-5.60365788975957,2.09874757238906e-08,3.74461311786311e-06,3.74461311786311e-06,5.42659304564318,"Down"
"MSTRG.33705",141.481806206377,-1.36457896348784,0.24394267253618,-5.59385100319198,2.22087563248984e-08,3.90307788031927e-06,3.90307788031927e-06,5.408592782909,"Down"
"MSTRG.42393",116.254530631744,1.50163888828588,0.268886956954651,5.58464756079312,2.34174615774619e-08,4.07475424250598e-06,4.07475424250598e-06,5.38989857940059,"Up"
"MSTRG.4254",196.558092009987,-1.61711470224265,0.290063908187148,-5.575029007743,2.47488623096286e-08,4.27565303311498e-06,4.27565303311498e-06,5.368997544791,"Down"
"MSTRG.6075",70.317942297235,2.45082392187851,0.439644193401275,5.57456224525086,2.48153068012022e-08,4.27565303311498e-06,4.27565303311498e-06,5.368997544791,"Up"
"MSTRG.37519",213.024162768011,2.15030631811621,0.386475966310577,5.56388108332771,2.63839774426899e-08,4.5237581616249e-06,4.5237581616249e-06,5.34450062034233,"Up"
"MSTRG.32973",168.993868620734,-1.82667406498549,0.328577631241116,-5.5593378590189,2.70800035927641e-08,4.6205584770974e-06,4.6205584770974e-06,5.33530552901894,"Down"
"MSTRG.33706",233.977394539943,-1.05093765491267,0.189085673000058,-5.55799727307923,2.72887647802543e-08,4.63368499159979e-06,4.63368499159979e-06,5.334073493865,"Down"
"MSTRG.16347",987.650926311097,-1.74800894978005,0.314608157372407,-5.55614630078043,2.75795736933178e-08,4.66055017185782e-06,4.66055017185782e-06,5.33156281238761,"Down"
"MSTRG.22237",35871.5650121397,1.61415665486083,0.291137408341601,5.54431209666772,2.95112052921836e-08,4.9160632929619e-06,4.9160632929619e-06,5.30838253432766,"Up"
"MSTRG.41472",13103.9499521019,-1.00812399359437,0.18182017087227,-5.5446213077348,2.94591040950255e-08,4.9160632929619e-06,4.9160632929619e-06,5.30838253432766,"Down"
"MSTRG.40919",266.239452043365,1.48565326078347,0.26829405559148,5.53740655009373,3.06983394574261e-08,5.08969779994844e-06,5.08969779994844e-06,5.29330800306816,"Up"
"MSTRG.35531",141.163740863777,-1.35795423541523,0.245699548252471,-5.52688942683711,3.25958251179923e-08,5.3042160049644e-06,5.3042160049644e-06,5.27537879835631,"Down"
"MSTRG.12447",4134.81572605846,-1.11636675690105,0.202036921704949,-5.52555813798911,3.28439791253093e-08,5.31996784458754e-06,5.31996784458754e-06,5.27409099269751,"Down"
"MSTRG.33198",10248.5585304482,-1.01515262555459,0.184167850019351,-5.51210553550976,3.54566198386692e-08,5.69070653291956e-06,5.69070653291956e-06,5.24483381017799,"Down"
"MSTRG.13707",1025.27022966796,-1.22364985474993,0.223000725792415,-5.48720122054218,4.08351885982296e-08,6.40766091088916e-06,6.40766091088916e-06,5.19330047888796,"Down"
"MSTRG.1478",159.883282682004,-1.33000023917487,0.243278524286122,-5.46698580599186,4.57752692443462e-08,7.00292340421164e-06,7.00292340421164e-06,5.15472062380339,"Down"
"MSTRG.7693",2712.14389086776,-1.61899866273245,0.296151251832524,-5.46679662069438,4.58241310696941e-08,7.00292340421164e-06,7.00292340421164e-06,5.15472062380339,"Down"
"MSTRG.22950",198.066993283995,-1.39041608878483,0.254312666283468,-5.46734894924584,4.56816199220709e-08,7.00292340421164e-06,7.00292340421164e-06,5.15472062380339,"Down"
"MSTRG.34674",141.342839997313,-1.14026029800272,0.208923335926444,-5.45779289300728,4.8208950190374e-08,7.30386375104076e-06,7.30386375104076e-06,5.1364473368871,"Down"
"MSTRG.22729",6408.5120069764,-1.02117978650418,0.187200398832659,-5.45500860506729,4.89704739514551e-08,7.38739566059955e-06,7.38739566059955e-06,5.1315086400323,"Down"
"MSTRG.27384",1528.13236311931,-1.4562604176062,0.267211339386827,-5.44984513362305,5.04136999012563e-08,7.57261170012504e-06,7.57261170012504e-06,5.12075431186897,"Down"
