"gene_id","variance"
"MSTRG.7979",1.79010440040549
"MSTRG.2907",1.78767944580959
"MSTRG.35711",1.78073107583458
"MSTRG.20798",1.78069299177305
"MSTRG.40944",1.77931332358514
"MSTRG.31387",1.77577150907146
"MSTRG.5106",1.77537553531847
"MSTRG.29148",1.77159491638874
"MSTRG.362",1.77062773877641
"MSTRG.36550",1.76845096369501
"MSTRG.5776",1.76837180982352
"MSTRG.21415",1.76691007969925
"MSTRG.3844",1.765300715929
"MSTRG.33446",1.76136223087908
"MSTRG.33832",1.76102478104296
"MSTRG.35491",1.75821370353011
"MSTRG.4129",1.7581283565668
"MSTRG.16404",1.75746913539165
"MSTRG.23704",1.75730950958842
"MSTRG.18717",1.75598750759539
"MSTRG.15166",1.75340785617356
"MSTRG.13368",1.75318396277109
"MSTRG.18374",1.74897323817061
"MSTRG.27483",1.74604296404618
"MSTRG.574",1.74203692485341
"MSTRG.2151",1.74194058914458
"MSTRG.6350",1.73823949776737
"MSTRG.93",1.73710273632476
"MSTRG.40911",1.73610750569599
"MSTRG.8964",1.73295375920357
"MSTRG.16406",1.73261394562632
"MSTRG.23132",1.73165298408118
"MSTRG.27975",1.73091349293691
"MSTRG.23538",1.72846440209275
"MSTRG.6205",1.72646863230506
"MSTRG.28647",1.72644560866527
"MSTRG.17505",1.72425444502158
